"","p","r","n","b","q"
"1",1,1,1,1,1
"2",1,1,1,1,1
"3",0.999187112988056,1,1,1,1
"4",0.997197806824365,0.999996761406327,0.99995789828225,0.999990284218981,1
"5",0.994150290177993,0.999990284218981,0.999355519859056,0.999954659688577,0.999987045625308
"6",0.983680726481333,0.999980568437961,0.998905355338498,0.999251884861518,0.9999157965645
"7",0.972585304557349,0.999977329844288,0.995414151358914,0.997742700209861,0.999566028447807
"8",0.964906598958468,0.999941705313884,0.992535041583543,0.993066170945928,0.99900251314869
"9",0.958737078011244,0.9999157965645,0.986359043448973,0.990196776951577,0.997869005363111
"10",0.953549660595383,0.999883410627769,0.976397129310568,0.985585019561106,0.996534704769801
"11",0.948760590201311,0.999773298442884,0.964598932559525,0.978958856905977,0.995044951680182
"12",0.943474395678421,0.99965347047698,0.954640257014794,0.97088504287898,0.992661346736793
"13",0.937699983159313,0.999481825012307,0.945562478949141,0.963896157732466,0.989681840557556
"14",0.931906139078167,0.999261600642537,0.934748814674716,0.956408529160297,0.985601212529471
"15",0.925596548954582,0.998953934243594,0.922950617923673,0.948286136228204,0.978754825504573
"16",0.919844806591186,0.998620359095266,0.910226183382128,0.93944801409436,0.972076845350675
"17",0.913499591937197,0.998209057698785,0.897317149001218,0.929463429800244,0.967413270461435
"18",0.907695222426613,0.997726507241495,0.881671502966552,0.918766354898049,0.962225043397155
"19",0.902002584397751,0.997091742881571,0.864727180868979,0.906644298779698,0.956596367593336
"20",0.896270273596394,0.996499080239397,0.848177967199523,0.89430525688525,0.950851102417286
"21",0.89067641267456,0.995579319636241,0.830987511982797,0.88264631966215,0.944302666010312
"22",0.885108460502112,0.994413425913931,0.813751716454647,0.870223074332202,0.937780138352722
"23",0.879580990750576,0.99322486203591,0.795949167033707,0.8575536958831,0.930862502267016
"24",0.873811436121978,0.991984480659119,0.778587066352307,0.844210689949996,0.923510894629116
"25",0.868055645516491,0.990472057413789,0.760386169909578,0.830890354172604,0.915841904811255
"26",0.862399441666451,0.988865714951939,0.742463792522735,0.816867243568153,0.907628831256315
"27",0.856859827188642,0.986906365779724,0.725283053087027,0.801956758297277,0.899312122703837
"28",0.85102145244449,0.984785086923854,0.70749345804078,0.787732854885095,0.890755758219551
"29",0.845298857424152,0.982343187294349,0.68939619659559,0.773214239448662,0.882639842474804
"30",0.839443480063217,0.97952884939244,0.672361193875172,0.757934554499054,0.874420291732518
"31",0.833576767624427,0.976306448687722,0.655847604736119,0.743791615928699,0.865242117263
"32",0.827786162136954,0.972753711428349,0.639476513718683,0.7290884006529,0.856135191854289
"33",0.822040087312485,0.968754048242091,0.623364510195093,0.714579500997487,0.846989403321502
"34",0.816308586159546,0.964028940073063,0.607388527605772,0.700400937896728,0.83798611291033
"35",0.810419203565044,0.958707930668187,0.592487758115916,0.686089592455372,0.828503510635542
"36",0.804632646319662,0.952771588465425,0.577603181594424,0.672332046532114,0.81889136461383
"37",0.798876855714175,0.946200481902739,0.563152576625126,0.658671658419048,0.808793429541156
"38",0.793256276394538,0.938890975982589,0.549178044925771,0.64530274373656,0.798818561028059
"39",0.787647032152758,0.931056817887401,0.536294919294246,0.631697411715937,0.788506878772962
"40",0.78203212037205,0.922808119802057,0.523447418193124,0.619040987641527,0.778214628079903
"41",0.776485219058476,0.914109257196155,0.511597403943312,0.606688991372386,0.768207373630075
"42",0.771089721999119,0.904697903982175,0.49969557219473,0.594929657745421,0.758264891053709
"43",0.765576825919113,0.894687410938674,0.488483560898515,0.583303106459051,0.747797756302303
"44",0.760242052491126,0.884330388372153,0.477391377568205,0.572285410783221,0.737576754670052
