"","p","r","n","b","q","k"
"163",237,51,28,29,44,0
"164",191,72,22,15,35,0
"165",205,55,23,25,40,0
"166",182,56,26,29,31,0
"167",200,61,34,25,35,0
"168",177,77,21,34,31,0
"169",172,56,30,25,30,0
"170",173,51,16,29,24,0
"171",173,50,18,27,21,0
"172",136,40,23,27,26,0
"173",139,40,23,19,23,0
"174",147,47,18,17,22,0
"175",128,40,15,26,27,0
"176",127,40,11,19,32,0
"177",118,44,7,19,22,0
"178",124,42,13,13,29,0
"179",125,44,8,23,19,0
"180",115,35,16,15,20,0
"181",117,43,13,15,21,0
"182",85,56,14,13,15,0
"183",112,38,10,19,15,0
"184",121,32,13,19,23,0
"185",97,32,17,19,16,0
"186",96,34,9,12,11,0
"187",104,30,9,19,14,0
"188",100,27,9,10,15,0
"189",85,28,12,5,10,0
"190",90,29,9,13,12,0
"191",92,24,12,11,12,0
"192",90,34,13,12,16,0
"193",87,34,11,12,18,0
"194",76,26,7,13,8,0
"195",60,20,5,14,15,0
"196",73,19,6,12,18,0
"197",84,24,9,12,9,0
"198",77,19,9,13,12,0
"199",65,31,4,10,13,0
"200",61,19,12,8,19,0
"201",55,16,9,15,9,0
"202",59,21,6,8,3,0
"203",64,23,6,7,7,0
"204",62,20,10,8,10,0
"205",59,17,12,8,13,0
"206",54,20,4,7,5,0
"207",52,26,9,6,4,0
"208",62,25,6,5,6,0
"209",50,25,5,2,12,0
"210",49,16,2,6,11,0
"211",54,17,2,3,6,0
"212",38,14,8,4,8,0
"213",40,14,6,4,5,0
"214",42,15,3,6,8,0
"215",38,17,6,8,8,0
"216",38,21,3,9,6,0
"217",36,19,2,3,9,0
"218",32,9,6,11,3,0
"219",43,13,5,9,7,0
"220",42,18,2,6,10,0
"221",39,15,4,6,10,0
"222",41,14,3,4,3,0
"223",36,10,4,4,5,0
"224",27,6,4,11,5,0
"225",36,6,3,4,10,0
"226",27,12,7,5,7,0
"227",28,13,3,9,6,0
"228",24,14,3,5,3,0
"229",31,9,0,8,3,0
"230",33,17,3,5,6,0
"231",27,12,3,11,9,0
"232",33,13,8,4,5,0
"233",25,17,2,4,6,0
"234",17,9,6,0,4,0
"235",28,13,4,7,2,0
"236",31,9,4,5,7,0
"237",28,14,4,1,3,0
"238",29,10,3,4,6,0
"239",17,11,2,2,7,0
"240",20,11,1,2,6,0
"241",19,4,3,5,5,0
"242",24,3,3,2,1,0
"243",30,5,4,3,2,0
"244",28,8,2,3,4,0
"245",22,3,5,6,3,0
"246",23,7,3,3,2,0
"247",21,7,4,2,0,0
"248",11,6,4,4,1,0
"249",21,6,2,1,3,0
"250",14,5,2,3,4,0
"251",15,5,0,5,6,0
"252",14,5,0,1,7,0
"253",12,10,0,2,2,0
"254",8,10,1,3,0,0
"255",10,5,0,0,0,0
"256",18,7,2,2,4,0
"257",16,12,7,0,2,0
"258",9,9,3,5,1,0
"259",12,6,2,1,1,0
"260",21,2,4,1,2,0
"261",14,2,4,3,2,0
"262",6,2,3,1,5,0
"263",8,7,0,6,1,0
"264",16,2,4,3,2,0
"265",14,4,0,1,2,0
"266",10,4,0,1,2,0
"267",16,4,0,0,1,0
"268",15,4,2,2,6,0
"269",11,3,2,3,4,0
"270",13,6,1,3,4,0
"271",10,6,1,2,0,0
"272",10,1,2,2,3,0
"273",12,0,1,2,2,0
"274",10,2,0,3,1,0
"275",13,3,1,1,2,0
"276",8,3,1,1,0,0
"277",9,3,0,4,2,0
"278",12,5,0,1,3,0
"279",5,4,1,2,1,0
"280",5,0,2,3,4,0
"281",9,1,1,4,2,0
"282",8,4,0,3,3,0
"283",11,3,1,2,3,0
"284",8,2,1,2,1,0
"285",5,2,1,1,1,0
"286",12,2,1,0,3,0
"287",11,4,1,1,4,0
"288",6,7,1,1,0,0
"289",5,3,2,0,1,0
"290",11,0,0,1,1,0
"291",10,0,1,0,2,0
"292",10,3,0,0,1,0
"293",5,3,0,0,1,0
"294",10,2,0,0,1,0
"295",5,7,0,0,0,0
"296",8,5,0,1,0,0
"297",9,3,2,0,0,0
"298",6,3,4,0,1,0
"299",4,5,1,1,0,0
"300",7,4,1,1,0,0
